start,end,2d_movement_mean_x,2d_movement_mean_y,2d_movement_std_x,2d_movement_std_y,3d_movement_mean_x,3d_movement_mean_y,3d_movement_mean_z,3d_movement_std_x,3d_movement_std_y,3d_movement_std_z,2d_shape_mean_width,2d_shape_mean_height,2d_shape_std_width,2d_shape_std_height,3d_shape_mean_width,3d_shape_mean_height,3d_shape_mean_depth,3d_shape_std_width,3d_shape_std_height
81.0,82.0,142.749,160.442,0.285,1.266,-168.241,-394.362,2781.179,2.766,10.839,14.803,19.467,118.133,0.991,0.991,186.727,-1163.884,60.0,9.067,11.428
82.0,83.0,143.202,160.981,0.509,0.721,-164.904,-402.332,2799.656,4.844,7.531,7.666,19.867,118.933,0.991,0.359,191.921,-1179.309,60.0,9.83,4.955
83.0,84.0,143.801,161.544,0.246,0.754,-159.571,-409.233,2809.151,2.276,7.06,4.64,19.533,119.0,0.884,0.0,189.372,-1183.917,60.0,8.82,1.936
84.0,85.0,143.828,162.043,0.404,0.606,-159.165,-413.851,2807.09,3.205,6.218,16.265,20.655,118.862,1.492,0.507,200.394,-1181.721,60.0,15.472,9.293
85.0,86.0,145.275,160.737,0.646,0.675,-147.839,-409.011,2863.23,6.363,6.313,5.583,22.533,119.0,1.118,0.0,223.318,-1206.484,60.0,11.106,2.33
86.0,87.0,153.805,170.151,3.986,5.655,-58.719,-455.437,2607.566,38.887,24.366,160.65,46.867,113.0,19.356,3.386,418.565,-1047.272,60.0,150.304,91.974
87.0,88.0,188.553,182.125,11.395,4.864,208.374,-460.598,2122.011,76.132,16.106,103.093,76.067,102.067,6.298,3.568,576.194,-774.201,60.0,65.022,62.786
88.0,89.0,230.602,191.302,14.976,1.353,500.556,-504.283,2016.628,112.401,14.074,27.483,73.733,98.333,11.117,1.66,537.846,-709.304,60.0,71.541,18.113
89.0,90.0,274.239,195.417,5.423,4.332,825.068,-544.262,2058.961,45.086,27.625,21.103,23.5,67.167,11.199,14.843,192.904,-500.247,60.0,78.864,105.887
97.0,98.0,285.189,112.276,6.57,9.569,905.538,52.242,2057.28,94.214,64.145,112.098,60.556,180.889,26.395,21.213,451.321,-1298.389,60.0,164.625,113.145
98.0,99.0,216.236,100.702,28.36,4.341,374.968,128.651,1900.381,188.789,29.119,12.438,72.933,206.0,8.366,5.434,497.188,-1374.366,60.0,59.158,43.196
99.0,100.0,143.763,111.853,12.193,6.482,-108.439,54.29,1903.784,81.191,43.257,13.967,69.138,200.655,2.873,9.204,457.809,-1342.262,60.0,18.525,55.471
100.0,101.0,130.894,108.815,1.378,12.716,-186.777,70.701,1831.001,6.701,79.906,25.749,70.677,207.387,2.277,13.54,448.137,-1332.906,60.0,9.426,69.814
101.0,102.0,128.715,107.23,1.391,8.448,-197.495,79.943,1801.328,6.108,51.822,24.987,69.138,211.414,2.096,10.679,430.779,-1336.546,60.0,12.77,50.0
102.0,103.0,130.797,112.413,0.249,0.578,-187.027,48.59,1826.366,1.506,3.711,2.099,69.533,207.0,1.454,0.0,439.847,-1328.142,60.0,9.294,1.524
103.0,104.0,130.705,112.168,0.279,0.633,-187.943,50.249,1829.545,1.869,4.122,3.048,69.8,207.0,1.222,0.0,442.345,-1330.45,60.0,7.672,2.212
104.0,105.0,130.345,110.334,0.562,0.571,-190.832,62.206,1835.102,3.715,3.736,4.225,69.267,207.0,0.854,0.0,440.346,-1334.483,60.0,5.669,3.067
105.0,106.0,140.222,110.602,10.885,2.216,-130.999,62.699,1899.718,71.638,15.237,27.365,77.552,202.379,11.103,4.759,512.469,-1349.85,60.0,71.21,28.465
106.0,107.0,223.008,102.986,36.191,4.406,422.298,114.31,1917.828,241.856,29.418,31.456,82.484,212.29,18.309,2.853,570.258,-1428.955,60.0,123.693,17.264
107.0,108.0,293.528,131.692,9.323,36.907,1054.718,-105.63,2247.152,117.856,299.33,123.913,22.793,122.241,12.675,58.419,202.831,-945.209,60.0,85.617,414.173
108.0,109.0,304.214,188.29,0.344,1.928,1215.796,-575.781,2404.124,7.782,18.619,11.402,6.852,16.556,1.208,3.414,87.943,-153.641,60.0,9.941,27.96
110.0,111.0,253.768,101.871,30.008,8.352,664.125,125.385,2003.906,230.006,57.327,73.316,73.759,193.828,20.54,16.959,532.202,-1358.929,60.0,129.601,92.696
111.0,112.0,126.723,105.127,37.063,1.398,-239.094,104.018,1991.629,266.569,11.797,58.312,84.533,200.0,10.181,8.881,581.406,-1397.209,60.0,72.424,30.936
112.0,113.0,55.202,92.33,6.787,5.686,-884.141,235.743,2399.937,97.854,61.292,151.532,78.133,168.933,4.372,6.377,632.942,-1419.229,60.0,34.695,80.341
113.0,114.0,52.652,85.865,1.429,0.987,-992.084,315.466,2635.515,12.406,8.989,9.17,77.0,166.733,0.0,0.998,687.744,-1539.078,60.0,2.476,9.853
116.0,117.0,71.734,77.907,4.118,1.336,-843.465,402.209,2724.214,45.724,16.212,30.651,66.9,179.7,15.093,3.422,619.985,-1712.31,60.0,144.041,50.087
117.0,118.0,75.082,78.359,0.33,1.026,-786.838,385.871,2642.341,4.379,10.747,9.273,58.6,173.8,0.8,0.98,524.384,-1605.086,60.0,6.518,4.001
119.0,120.0,100.839,112.23,0.83,0.295,-414.716,54.467,1999.008,6.188,2.114,1.788,81.0,204.0,0.0,1.0,555.49,-1432.74,60.0,0.298,5.625
121.0,122.0,172.782,109.937,0.0,0.0,90.915,71.574,2028.341,0.0,0.0,0.0,73.0,203.0,0.0,0.0,522.279,-1446.722,60.0,0.0,0.0
468.0,469.0,187.395,182.323,0.0,0.0,201.609,-458.656,2098.688,0.0,0.0,0.0,67.0,107.0,0.0,0.0,498.024,-800.395,60.0,0.0,0.0
469.0,470.0,162.153,175.751,9.689,3.967,11.857,-479.801,2467.169,77.661,25.488,224.828,53.467,112.667,10.401,3.467,455.552,-989.661,60.0,50.545,117.073
470.0,471.0,150.026,155.848,1.918,5.628,-121.244,-423.713,3415.472,31.792,33.587,290.112,32.862,120.655,3.148,1.97,389.048,-1455.395,60.0,14.309,116.001
471.0,472.0,148.612,137.77,1.793,4.796,-178.203,-270.887,4427.115,39.216,56.39,304.463,28.917,93.75,1.869,12.778,445.149,-1450.296,60.0,19.644,107.365
472.0,473.0,145.528,125.844,0.437,1.774,-264.649,-106.289,5214.154,10.772,29.733,100.936,28.739,73.783,0.895,3.856,522.895,-1352.997,60.0,24.283,52.661
473.0,474.0,143.829,127.18,0.728,4.195,-303.447,-135.433,5350.993,14.187,81.926,49.438,24.091,70.273,2.466,3.222,448.492,-1322.878,60.0,44.263,50.307
475.0,476.0,142.44,144.112,0.0,0.0,-353.873,-485.915,5746.817,0.0,0.0,0.0,19.0,39.0,0.0,0.0,379.84,-792.141,60.0,0.0,0.0
479.0,480.0,152.048,142.653,3.528,14.812,-58.065,-162.17,2153.497,22.131,98.87,172.816,74.0,154.5,7.141,3.841,553.495,-1174.461,60.0,14.631,117.556
480.0,481.0,156.295,104.789,5.344,9.773,-32.689,153.219,2757.016,52.677,106.536,180.313,57.222,140.111,5.159,9.893,549.53,-1347.959,60.0,17.608,37.231
481.0,482.0,164.809,73.433,1.13,2.344,57.86,562.86,3444.031,12.613,37.505,57.405,39.4,119.0,0.8,5.06,477.269,-1429.371,60.0,7.413,39.511
482.0,483.0,163.967,68.946,0.257,1.16,49.286,634.33,3543.317,3.083,13.384,11.271,36.273,115.273,1.763,0.914,451.943,-1424.659,60.0,21.979,12.23
483.0,484.0,164.254,68.536,1.009,0.917,52.998,641.282,3553.355,12.505,12.151,7.476,39.069,113.483,1.78,2.608,488.111,-1406.401,60.0,22.436,32.229
484.0,485.0,168.401,72.378,0.756,0.535,103.686,587.899,3520.352,9.128,7.903,9.838,38.364,109.636,0.932,3.156,476.263,-1345.961,60.0,10.832,41.05
485.0,486.0,169.313,71.709,0.327,1.019,114.595,594.226,3508.982,4.07,13.276,7.289,40.133,110.667,1.765,1.795,496.668,-1354.088,60.0,22.384,21.994
486.0,487.0,171.217,71.367,0.869,1.236,137.016,594.425,3485.077,9.813,18.506,24.761,43.0,110.875,2.121,0.484,528.499,-1347.35,60.0,26.144,12.685
487.0,488.0,174.827,72.941,4.34,3.326,177.77,568.427,3439.896,47.815,50.627,73.726,57.933,115.8,6.277,4.183,704.678,-1390.023,60.0,80.157,56.548
488.0,489.0,183.442,79.698,0.763,0.869,269.507,463.361,3278.74,8.22,9.437,7.235,57.167,116.333,0.553,2.055,664.094,-1331.644,60.0,6.775,25.62
489.0,490.0,182.312,80.434,0.251,0.599,257.283,456.234,3288.298,3.032,6.987,6.761,57.0,117.154,0.0,1.35,664.103,-1344.863,60.0,1.351,15.318
490.0,491.0,182.312,80.235,0.476,0.406,257.13,458.3,3286.57,4.747,6.523,16.073,57.571,117.0,0.904,1.512,670.324,-1342.265,60.0,13.083,13.43
491.0,492.0,181.129,80.873,0.338,0.265,244.452,452.691,3299.364,3.591,2.71,6.203,58.6,116.2,0.8,0.98,684.658,-1338.304,60.0,9.281,13.543
492.0,493.0,181.198,79.742,0.323,0.252,245.397,466.053,3301.297,3.756,3.672,7.907,59.0,116.6,0.0,0.8,689.644,-1343.66,60.0,1.636,9.536
493.0,494.0,180.796,80.419,0.303,0.553,239.922,456.664,3290.077,3.127,7.424,8.234,59.0,116.5,0.0,0.866,687.323,-1337.919,60.0,1.704,8.942
494.0,495.0,181.235,78.746,0.218,0.523,245.598,477.129,3298.205,2.59,6.121,2.992,59.571,115.714,1.178,1.221,695.669,-1332.25,60.0,13.539,14.453
495.0,496.0,181.463,78.748,0.182,0.944,248.277,477.22,3298.821,2.174,11.928,7.721,56.2,116.733,1.759,0.68,656.642,-1344.17,60.0,20.487,7.298
496.0,497.0,181.499,79.943,1.623,1.447,247.846,461.853,3287.746,18.569,17.747,16.237,50.857,115.429,3.962,1.116,592.232,-1324.725,60.0,47.866,13.15
497.0,498.0,172.048,82.657,7.15,6.309,136.738,414.919,3141.052,82.781,88.885,163.859,50.2,122.2,6.442,5.879,554.442,-1338.704,60.0,70.385,42.225
498.0,499.0,108.408,114.825,25.257,9.039,-445.256,50.986,2537.682,197.098,83.153,156.648,79.381,146.143,9.926,9.187,687.959,-1300.168,60.0,49.268,58.168
499.0,500.0,43.063,144.845,8.513,7.596,-846.357,-177.278,2071.349,38.912,45.341,122.37,70.333,142.333,8.3,3.887,489.195,-1043.782,60.0,90.673,88.468
500.0,501.0,46.835,159.029,2.653,2.518,-780.659,-269.56,1968.214,9.196,20.801,47.986,80.833,128.833,2.23,8.425,533.956,-897.586,60.0,11.692,35.91
501.0,502.0,35.582,161.096,4.071,0.805,-880.337,-290.815,2017.968,26.748,6.103,11.82,77.667,116.81,0.943,2.538,525.402,-837.595,60.0,7.21,15.632
502.0,503.0,51.796,159.921,5.263,2.377,-729.913,-269.024,1922.69,44.654,14.073,28.192,81.381,140.81,0.999,4.895,524.854,-957.465,60.0,9.739,21.175
503.0,504.0,50.3,161.223,0.693,2.033,-727.222,-273.291,1890.488,3.302,13.693,6.331,81.333,143.667,1.0,0.943,515.335,-960.644,60.0,6.659,5.765
504.0,505.0,47.161,144.481,3.903,6.865,-811.561,-174.227,2048.819,54.065,42.586,69.735,79.5,152.5,2.291,4.61,547.072,-1104.037,60.0,11.23,68.76
505.0,506.0,47.76,126.78,4.606,4.317,-894.344,-52.773,2275.838,9.838,31.984,89.228,77.0,164.826,0.0,2.944,590.626,-1321.908,60.0,24.093,71.408
506.0,507.0,55.791,120.901,0.802,0.747,-886.39,-7.639,2425.74,3.394,6.345,14.651,75.286,166.857,2.25,0.515,616.696,-1424.306,60.0,19.168,11.679
507.0,508.0,54.266,118.955,2.436,1.088,-900.261,8.888,2428.314,16.838,9.234,14.471,75.0,167.571,1.927,0.904,614.987,-1431.795,60.0,17.02,10.319
508.0,509.0,55.498,119.658,2.439,1.336,-889.332,2.942,2426.982,19.786,11.347,17.4,72.548,166.871,2.722,0.491,593.989,-1425.127,60.0,21.814,10.204
509.0,510.0,56.19,120.893,0.361,0.541,-882.066,-7.586,2423.072,4.4,4.587,6.155,73.857,167.5,2.85,0.866,604.019,-1428.13,60.0,24.278,9.272
510.0,511.0,56.006,119.907,0.573,0.637,-888.504,0.785,2436.446,5.453,5.433,9.735,70.613,166.419,4.293,2.167,580.068,-1426.569,60.0,35.837,15.57
511.0,512.0,47.696,133.022,5.879,13.33,-890.559,-97.197,2268.644,13.203,96.561,140.598,78.364,151.0,4.801,20.6,597.57,-1218.748,60.0,14.336,230.773
512.0,513.0,42.507,163.934,1.095,1.571,-841.992,-314.781,2043.641,9.772,9.586,16.131,92.931,114.586,0.365,1.921,643.346,-832.482,60.0,5.001,15.947
513.0,514.0,42.161,157.614,3.007,2.285,-867.813,-277.089,2100.308,19.67,17.883,15.182,91.857,117.857,0.99,2.997,654.027,-878.942,60.0,7.878,21.092
514.0,515.0,38.912,158.673,1.706,1.338,-890.828,-284.495,2098.065,9.854,8.986,7.715,92.273,124.091,0.962,5.931,656.348,-923.399,60.0,8.98,45.821
515.0,516.0,47.493,149.832,5.129,5.812,-829.86,-219.942,2104.138,32.346,42.21,18.212,89.824,144.882,2.281,8.824,640.469,-1077.365,60.0,14.144,68.794
516.0,517.0,108.627,112.767,17.369,12.571,-448.832,74.085,2561.393,120.061,119.092,207.824,61.231,150.846,7.303,13.008,535.169,-1348.173,60.0,20.899,42.323
517.0,518.0,164.078,77.859,12.263,8.004,52.116,473.68,3175.827,136.872,110.45,157.753,49.0,122.68,2.939,4.954,548.712,-1358.799,60.0,50.866,32.666
518.0,519.0,189.528,70.976,3.521,1.661,346.952,576.175,3351.349,40.995,20.948,12.108,54.053,116.158,1.503,1.182,642.954,-1358.554,60.0,18.029,14.437
519.0,520.0,194.371,70.649,0.508,0.254,407.653,585.314,3382.21,6.552,3.153,7.969,55.0,111.842,0.0,2.996,660.206,-1320.377,60.0,1.537,33.854
520.0,521.0,194.572,69.757,0.388,0.603,411.417,597.902,3393.589,5.153,7.654,7.976,55.353,110.765,0.762,2.263,666.644,-1312.126,60.0,9.758,25.694
521.0,522.0,187.048,72.621,6.409,1.366,318.013,557.25,3354.114,75.209,16.116,17.694,56.231,115.077,2.939,2.908,667.77,-1347.197,60.0,33.297,35.339
522.0,523.0,165.44,71.589,2.799,2.307,66.312,591.259,3480.823,33.613,35.585,45.881,50.84,115.48,10.007,2.61,621.294,-1401.994,60.0,115.9,22.843
523.0,524.0,167.095,67.935,1.114,0.483,89.208,654.933,3587.291,13.746,5.799,15.838,39.69,108.034,1.6,1.79,501.31,-1350.585,60.0,19.547,25.658
524.0,525.0,167.062,68.457,1.015,0.492,88.27,644.732,3567.104,12.239,7.232,20.81,42.067,109.667,1.843,2.271,528.417,-1364.069,60.0,21.153,34.542
525.0,526.0,167.605,70.227,0.397,0.636,95.012,621.868,3562.912,4.762,8.405,10.873,42.241,105.69,1.103,3.075,530.074,-1312.997,60.0,12.913,36.949
526.0,527.0,167.96,70.073,0.996,0.822,98.908,620.797,3545.721,11.821,12.119,20.405,41.0,107.129,0.0,0.87,511.989,-1324.435,60.0,2.934,14.539
527.0,528.0,169.814,69.212,0.395,1.144,121.169,627.127,3521.16,4.671,15.181,11.397,41.645,106.935,0.935,1.294,516.495,-1312.853,60.0,11.873,16.547
528.0,529.0,168.662,70.243,0.928,0.373,107.283,616.515,3533.417,10.955,5.037,18.403,41.194,106.742,0.591,1.319,512.644,-1314.982,60.0,8.18,17.096
529.0,530.0,168.055,70.483,0.176,0.576,100.833,619.87,3569.916,2.182,6.938,6.82,42.419,107.903,1.362,1.422,533.358,-1343.147,60.0,16.774,17.849
530.0,531.0,168.011,70.693,0.223,0.77,100.28,617.24,3569.87,2.727,9.823,10.984,41.867,105.8,1.431,3.525,526.42,-1317.016,60.0,18.695,41.595
531.0,532.0,168.733,70.708,0.661,0.503,109.448,618.002,3575.349,7.805,7.072,16.748,41.067,100.4,0.359,2.59,517.09,-1252.003,60.0,4.917,34.197
532.0,533.0,168.003,70.662,0.306,0.392,100.411,618.942,3577.538,4.083,3.622,13.527,41.0,102.241,0.0,3.339,516.564,-1275.538,60.0,1.945,38.185
533.0,534.0,168.209,70.26,0.688,0.413,101.676,616.268,3533.11,8.222,6.949,12.412,41.323,108.484,0.736,1.132,514.19,-1336.516,60.0,8.351,14.675
534.0,535.0,169.055,70.415,2.169,0.71,111.291,609.76,3506.775,26.392,9.716,18.448,46.355,110.29,2.56,1.3,572.395,-1348.545,60.0,31.784,17.042
535.0,536.0,158.688,68.8,1.96,0.429,-16.339,634.58,3534.431,24.255,6.48,12.953,39.71,109.065,1.3,2.299,491.631,-1344.142,60.0,15.656,25.4
536.0,537.0,157.128,68.507,0.112,0.335,-35.723,640.6,3547.679,1.374,4.62,4.445,41.0,108.467,0.516,1.147,509.328,-1341.894,60.0,6.577,15.109
537.0,538.0,156.952,68.288,0.195,0.382,-37.911,643.275,3547.426,2.427,4.732,2.19,41.067,108.133,2.394,2.717,510.108,-1337.394,60.0,29.454,33.946
538.0,539.0,158.11,67.777,0.248,0.561,-23.477,648.575,3541.676,3.089,6.663,3.451,40.655,108.862,0.755,0.73,504.216,-1344.133,60.0,9.315,8.959
539.0,540.0,158.519,67.509,0.414,0.316,-18.333,649.766,3530.021,5.13,5.044,8.924,42.935,109.065,1.19,1.076,530.611,-1342.156,60.0,13.883,12.181
540.0,541.0,164.166,70.443,2.956,1.277,51.14,609.888,3509.228,36.171,17.796,13.771,43.774,108.613,1.946,1.183,540.075,-1328.735,60.0,24.822,17.534
541.0,542.0,170.978,72.829,0.766,0.612,133.725,574.639,3473.93,9.215,8.141,8.618,44.355,107.065,0.935,1.48,542.882,-1296.562,60.0,11.235,17.99
542.0,543.0,167.345,70.084,1.652,0.997,90.032,612.188,3497.263,20.044,13.57,9.132,39.387,108.742,2.98,1.413,484.988,-1325.738,60.0,35.951,18.898
543.0,544.0,166.284,67.906,0.368,0.814,77.112,639.296,3499.544,4.481,10.565,6.187,37.345,106.724,0.92,2.391,460.115,-1302.045,60.0,11.576,29.421
544.0,545.0,165.874,68.462,0.361,1.443,71.612,628.445,3476.913,4.415,20.565,23.996,37.0,103.483,0.0,2.712,452.906,-1254.386,60.0,3.113,33.766
545.0,546.0,165.783,69.14,0.208,1.18,70.659,621.457,3484.429,2.505,15.096,7.709,36.742,104.226,0.841,2.31,450.682,-1266.116,60.0,10.13,27.983
546.0,547.0,167.497,69.869,1.37,1.969,91.362,611.461,3477.775,16.319,26.586,16.042,41.065,106.677,3.645,0.894,502.849,-1293.339,60.0,42.963,13.432
547.0,548.0,168.221,72.094,1.615,1.187,100.91,589.408,3507.666,18.647,20.802,39.046,42.226,108.935,1.66,1.865,521.449,-1332.237,60.0,15.848,35.146
548.0,549.0,165.138,68.131,1.232,2.239,64.367,650.604,3576.247,15.143,31.286,26.964,42.871,112.613,6.465,2.708,539.81,-1404.47,60.0,81.426,37.595
549.0,550.0,177.26,73.926,4.287,2.388,205.344,551.457,3410.139,47.942,38.745,70.99,57.133,112.8,3.344,1.815,689.166,-1342.25,60.0,40.219,39.344
550.0,551.0,180.808,75.74,0.493,0.976,245.0,521.209,3357.971,5.038,13.438,17.021,55.933,112.8,2.294,1.077,665.165,-1321.53,60.0,28.923,11.092
551.0,552.0,180.286,75.728,0.645,0.722,238.808,521.276,3357.73,6.24,8.66,21.688,53.207,114.448,0.609,1.162,632.447,-1340.757,60.0,7.458,19.632
552.0,553.0,179.622,75.39,0.601,0.903,231.752,526.9,3368.17,6.996,11.007,6.525,53.2,113.867,0.6,1.335,634.367,-1338.035,60.0,7.368,16.771
553.0,554.0,179.322,75.388,0.335,0.995,228.276,527.076,3369.138,3.581,12.109,12.794,53.519,112.926,0.876,1.386,638.356,-1327.393,60.0,11.487,17.948
554.0,555.0,178.468,72.952,1.733,1.719,217.76,555.018,3364.868,18.806,16.841,26.917,60.742,113.258,4.15,1.319,722.26,-1329.416,60.0,53.327,18.564
555.0,556.0,175.226,74.244,0.36,0.681,181.882,546.576,3406.4,4.528,9.214,9.128,66.467,114.733,1.147,1.692,799.006,-1363.369,60.0,13.733,19.384
556.0,557.0,177.366,74.726,0.791,0.342,206.661,538.877,3394.225,8.764,5.072,13.046,60.933,114.067,1.896,1.526,731.298,-1350.724,60.0,23.851,19.286
557.0,558.0,178.305,75.699,0.347,1.005,216.2,523.282,3368.254,4.017,12.961,10.38,58.448,114.31,2.343,1.206,696.639,-1343.2,60.0,29.039,14.439
558.0,559.0,177.325,73.704,0.455,1.539,207.008,553.208,3407.526,5.052,18.704,11.424,51.933,114.133,2.048,1.231,626.383,-1356.835,60.0,23.733,16.024
559.0,560.0,177.712,73.365,0.678,0.822,211.402,556.67,3403.975,7.698,10.435,11.905,54.8,114.267,1.492,1.504,660.29,-1357.039,60.0,17.44,19.373
560.0,561.0,177.703,75.338,0.562,0.669,210.019,529.832,3383.159,6.543,7.098,13.202,54.267,114.533,2.279,0.991,649.896,-1351.891,60.0,26.697,11.177
561.0,562.0,178.459,75.224,0.269,0.934,217.368,527.283,3358.251,2.969,10.943,15.386,49.467,113.733,2.291,0.964,588.186,-1332.391,60.0,27.978,13.823
562.0,563.0,177.884,74.784,0.382,0.591,210.602,532.449,3358.061,4.626,6.929,9.057,47.333,113.667,1.164,1.075,562.728,-1331.63,60.0,13.937,13.434
563.0,564.0,177.935,74.892,0.372,0.9,211.932,533.012,3369.661,4.589,10.716,8.678,51.621,113.483,3.022,1.004,615.739,-1333.975,60.0,36.107,12.369
564.0,565.0,177.725,74.556,0.389,0.46,209.105,536.068,3364.071,4.898,3.944,11.763,49.929,113.786,0.997,1.235,594.426,-1335.352,60.0,11.209,14.938
565.0,566.0,177.748,73.734,0.228,0.542,208.126,542.548,3344.082,2.576,7.275,10.782,50.6,113.6,1.083,1.281,598.699,-1325.269,60.0,13.394,15.838
566.0,567.0,178.328,72.629,0.624,0.881,215.922,558.052,3359.238,7.977,12.381,13.934,51.067,113.667,1.209,1.193,606.965,-1332.065,60.0,15.692,14.849
567.0,568.0,178.747,72.241,0.494,0.442,220.41,561.479,3352.724,5.85,4.354,14.506,51.733,113.467,1.413,1.231,613.693,-1327.084,60.0,16.919,14.161
568.0,569.0,178.629,73.316,0.305,0.84,220.217,551.851,3371.091,3.61,9.435,11.955,51.333,113.467,1.043,1.335,612.261,-1334.455,60.0,12.169,16.896
569.0,570.0,178.952,73.424,1.006,1.068,222.897,547.783,3353.806,11.954,13.291,12.59,56.467,113.533,3.462,1.258,670.342,-1328.308,60.0,41.438,16.899
570.0,571.0,181.233,75.608,1.057,2.317,248.321,519.572,3336.434,10.412,31.128,31.085,59.828,113.138,0.985,1.279,706.779,-1316.988,60.0,12.989,19.469
